incident_id,incident_type_code,student_id,date_incident_start,date_incident_end,incident_summary,recommendations,other_details
1,NOISE,6,2017-07-09 10:04:13,2018-03-08 14:08:54,,,
2,DISTURB,13,2018-01-31 10:51:13,2018-03-18 18:40:05,,,
3,VIOLENCE,1,2017-10-10 22:43:54,2018-03-22 02:10:35,,Transfer schools,
4,VIOLENCE,10,2017-07-20 17:43:50,2018-03-09 06:28:44,,,
5,NOISE,7,2017-08-13 22:15:05,2018-02-25 05:38:58,,,
6,VIOLENCE,8,2017-06-09 18:32:28,2018-03-20 10:32:10,,,
7,VIOLENCE,4,2017-04-23 07:03:17,2018-03-19 02:35:39,,,
8,DISTURB,1,2017-05-02 12:52:09,2018-03-18 01:23:29,,,
9,NOISE,11,2017-06-19 14:25:54,2018-03-08 09:36:36,,,
10,NOISE,1,2018-01-27 09:24:45,2018-03-13 05:18:05,,,
11,VIOLENCE,9,2018-03-06 21:03:58,2018-03-06 14:44:37,,Transfer schools,
12,DISTURB,7,2017-08-27 03:21:30,2018-03-02 16:06:34,,,
13,VIOLENCE,5,2017-05-25 15:02:53,2018-03-10 21:12:22,,,
14,NOISE,1,2017-08-29 20:48:56,2018-03-16 14:37:20,,Transfer schools,
15,NOISE,15,2018-02-05 13:13:45,2018-03-08 09:00:48,,,
