season,player,country_name
1996.0,Steve Ralston Category:Articles with hCards,United States
1997.0,Mike Duhaney Category:Articles with hCards,United States
1998.0,Ben Olsen Category:Articles with hCards,Ireland
1999.0,Jay Heaps Category:Articles with hCards,Isle of Man
2000.0,Carlos Bocanegra Category:Articles with hCards,Isle of Man
2001.0,Rodrigo Faria Category:Articles with hCards,Ireland
2002.0,Kyle Martino Category:Articles with hCards,United States
2003.0,Damani Ralph Category:Articles with hCards,Indonesia
2004.0,Clint Dempsey Category:Articles with hCards,United States
2005.0,Michael Parkhurst Category:Articles with hCards,United States
2006.0,Jonathan Bornstein Category:Articles with hCards,United States
2007.0,Maurice Edu Category:Articles with hCards,Ireland
2008.0,Sean Franklin Category:Articles with hCards,United States
2009.0,Omar Gonzalez Category:Articles with hCards,United States
2010.0,Andy Najar Category:Articles with hCards,Ireland
2011.0,C. J. Sapong Category:Articles with hCards,United States
