player_id,player,years_played,total_wl,singles_wl,doubles_wl,team
1,Cho Soong-Jae (630),1 (2011),2–0,1–0,1–0,1
2,Chung Hong (717),1 (2011),0–0,0–0,0–0,1
3,Im Kyu-tae (492),"8 (2003–2005, 2007–2011)",6–9,5–7,1–2,1
4,Jeong Suk-Young (793),2 (2010–2011),1–2,1–2,0–0,1
5,Kim Hyun-Joon (908),2 (2010–2011),3–4,2–1,1–3,2
6,Kim Young-Jun (474),"4 (2003–2004, 2010–2011)",6–4,6–3,0–1,4
7,Lim Yong-Kyu (288),3 (2009–2011),7–6,5–6,2–0,6
8,Seol Jae-Min (none),2 (2010-2011),2–2,0–0,2–2,1
9,An Jae-Sung,"3 (2005, 2007–2008)",4–3,3–2,1–1,1
10,Bae Nam-Ju,"2 (1988, 1990)",1–3,0–2,1–1,8
