order_id,customer_id,order_status,date_order_placed,order_details
1,2,Shipped,2009-02-21 15:26:19,
2,11,Shipped,1974-06-24 22:10:26,
3,4,Shipped,1982-12-29 21:10:11,
4,15,Packing,1974-08-10 08:15:16,
5,5,Packing,2010-06-08 02:20:49,
6,7,Packing,1975-12-23 15:59:43,
7,15,Packing,1976-09-01 09:27:00,
8,10,On Road,1997-01-27 19:12:01,
9,3,On Road,1983-09-08 12:32:49,
10,2,On Road,1982-12-09 09:42:23,
11,9,On Road,1979-12-07 02:03:49,
12,2,On Road,1976-01-18 08:09:12,
13,15,On Road,2002-12-06 14:13:30,
14,10,On Road,2002-09-13 07:38:09,
15,8,On Road,1971-05-10 01:54:18,
