stuid,registration_date,election_cycle,president_vote,vice_president_vote,secretary_vote,treasurer_vote,class_president_vote,class_senator_vote
1001,08/30/2015,Spring,1004,1007,1010,1035,1001,1028
1002,08/30/2014,Spring,1014,1007,1020,1025,1021,1028
1003,08/30/2013,Spring,1004,1017,1030,1035,1031,1028
1004,08/30/2013,Spring,1024,1017,1020,1035,1011,1028
1005,08/30/2012,Spring,1024,1017,1010,1035,1021,1028
1001,08/30/2015,Fall,1004,1007,1010,1035,1021,1028
1002,08/30/2014,Fall,1004,1007,1020,1035,1021,1028
1003,08/30/2013,Fall,1004,1017,1020,1035,1031,1028
1004,08/30/2013,Fall,1024,1017,1020,1035,1011,1018
1005,08/30/2012,Fall,1024,1017,1010,1035,1021,1028
